label,co2(ppm),methane(ppb),nitrous_oxide(ppvb),primary_energy_consumption (trillion BTUs),population
0,1546.2,337,96,58.27,3764194
0,1604.6,346,90,53.846,3765332
0,1738.7,365,90,55.036,3765422
0,1747.4,381,88,52.572,3762791
0,1995.9,390,82,59.439,3754261
0,2053.7,400,113,71.468,3735945
0,2114.6,379,110,76.505,3705478
0,2376.1,387,123,74.126,3661173
0,2213.4,379,131,72.109,3604972
0,2180.1,378,121,73.222,3542598
0,1931.2,347,131,70.884,3482106
0,1846,348,135,70.99,3429362
0,2173.4,346,121,72.588,3386263
0,2181.9,343,121,72.034,3351534
0,2207.5,338,109,73.247,3323929
1,270,610,481,8.951,1286756
1,263.4,579,463,9.369,1326321
1,277.7,561,451,11.365,1363541
1,319.5,545,441,11.028,1399110
1,303,573,457,10.978,1434061
1,304.5,623,489,11.11,1469173
1,275.5,705,578,10.526,1504724
1,279.9,680,551,10.849,1540424
1,334.2,646,503,11.631,1575827
1,315.8,642,492,11.004,1610260
1,377.8,620,472,14.349,1643333
1,384.7,709,579,15.084,1674674
1,397.5,708,598,15.829,1704637
1,382.5,371,233,16.18,1734387
1,389.5,397,260,15.935,1765533
1,409.3,452,315,16.937,1799077
1,413.3,551,421,18.093,1835911
1,422.8,459,320,18.578,1875458
1,450.3,878,771,19.326,1915636
1,385.5,456,310,18.072,1953495
1,453.7,1002,895,18.618,1987106
1,402.9,1219,1121,19.529,2015406
1,507.7,632,494,19.301,2039551
1,566.3,583,444,19.16,2062551
1,685,443,308,19.244,2088619
1,542.5,426,279,23.448,2120716
1,633.4,387,243,25.816,2159925
1,705.9,528,414,23.731,2205076
1,756.1,456,316,23.175,2254067
0,21865.8,29079,11091,1488.863,149003225
0,22939.4,30573,11581,1546.03,151648007
0,23360.1,31012,11733,1618.265,154259382
0,24430.6,31102,12003,1690.599,156849086
0,25400.2,31672,12332,1776.659,159432717
0,26867.8,31710,12430,1865.465,162019889
0,28931.1,31356,11664,1969.715,164614682
0,30694.9,32197,12052,2082.24,167209046
0,31735.9,33745,13068,2158.256,169785253
0,32725.6,33770,12941,2196.877,172318674
0,34018.3,32764,12518,2233.892,174790339
0,34616.6,34554,13250,2186.656,177196051
0,34776.5,36694,14638,2237.889,179537523
0,34464.5,38246,15139,2277.733,181809244
0,36143.4,40089,16265,2388.812,184006479
0,36437.1,40417,16370,2456.158,186127108
0,36887.1,39597,15786,2517.919,188167353
0,39057.3,40151,16893,2670.789,190130445
0,41263.8,39396,15646,2787.295,192030362
0,38977.5,39805,15153,2764.258,193886505
0,44026.9,42150,17627,3042.656,195713637
0,46258,41463,16881,3182.806,197514541
0,49830.9,41815,17160,3240.433,199287292
0,53241.8,41293,16911,3362.015,201035904
0,55790.1,41870,17715,3438.78,202763744
0,52935.3,42688,17722,3388.909,204471759
0,49274.8,42863,18052,3301.494,206163056
0,50075.8,42751,19075,3343.262,207833825
0,48368.5,41802,18110,3365.822,209469320
1,618.8,997,9,20.552,258714
1,530.5,1011,9,16.425,266208
1,521,1025,10,16.061,273888
1,496.5,1038,9,15.265,281684
1,469,1052,9,14.671,289452
1,478.5,1065,9,18.146,297112
1,474.1,1091,9,16.899,304620
1,493.2,1128,10,18.073,311962
1,515.9,1270,18,16.346,319135
1,380.3,1183,11,19.286,326214
1,459.1,1215,12,19.664,333166
1,438.9,1223,12,22.357,340037
1,425.4,1230,11,26.107,346777
1,447,1242,12,27.009,353295
1,487.3,1247,12,29.992,359434
1,486.9,1256,12,33.787,365112
1,473.8,1206,13,52.07,370262
1,831,1157,13,54.662,374967
1,899.1,1107,13,56.141,379418
1,774.6,1059,13,37.245,383902
1,806.1,1009,14,42.423,388634
1,954.5,997,14,43.577,393687
1,949.3,985,15,42.361,398997
1,762.8,972,15,39.397,404414
1,892.6,962,15,44.308,409778
1,695.4,949,15,48.963,414914
1,754.4,928,15,51.142,419791
1,955.2,905,15,51.35,424481
1,959.2,883,15,53.408,428960
0,7669.9,1639,839,323.224,8841466
0,6151.7,1536,715,261.051,8767000
0,5736.5,1482,530,245.178,8676379
0,5842.6,1353,457,260.996,8576042
0,5640.4,1174,462,251.245,8474822
0,5795,1202,439,270.214,8379305
0,5850.1,1208,448,268.973,8291969
0,5585.6,1155,419,254.93,8211804
0,5317.5,1106,361,244.534,8137669
0,4638,1065,336,213.562,8067005
0,4546.6,1059,377,215.891,7997951
0,4898.2,996,396,223.248,7930700
0,4615.6,943,438,217.844,7866242
0,5053.3,983,448,226.049,7804306
0,4958.5,931,437,218.832,7744630
0,5065.6,889,399,236.666,7686964
0,5189.4,849,327,241.217,7631020
0,5574,858,363,233.941,7576675
0,5407.9,829,380,230.075,7524084
0,4581.5,794,379,201.083,7473509
0,4786.1,779,372,209.284,7425011
0,5317.6,804,436,222.732,7378652
0,4834.1,775,343,211.254,7334007
0,4268,749,376,195.36,7290092
0,4521.7,747,383,208.576,7245648
0,4827.6,739,400,221.684,7199739
0,4550.2,709,401,210.044,7151948
0,4758.2,703,405,214.864,7102452
0,4363.8,691,405,214.446,7051610
0,58.3,806,513,2.039,8811033
0,62.7,827,535,2.359,9050086
0,63,847,544,2.386,9297110
0,62.7,862,553,2.647,9552473
0,64.5,881,579,2.952,9816584
0,62.4,905,591,3.018,10089880
0,70.5,895,583,3.211,10372734
0,80.4,914,606,5.068,10665552
0,85.9,962,628,4.553,10968722
0,91.6,941,632,4.688,11282696
0,103,1009,684,4.259,11607951
0,99.1,868,592,4.733,11944589
0,100.1,905,629,4.958,12293097
0,107.5,1111,761,5.487,12654624
0,110,1147,781,4.942,13030576
0,112.2,1182,811,5.248,13421935
0,135.6,1176,792,5.175,13829173
0,159.1,1205,807,7.331,14252029
0,173.4,1245,823,8.007,14689725
0,182.9,1289,842,7.522,15141098
1,203.6,1350,879,8.211,15605211
1,213.1,1375,879,9.353,16081915
1,261.9,1381,885,11.028,16571252
1,286.4,1420,914,13.225,17072791
1,291.1,1449,922,12.343,17586029
1,329.7,1469,931,15.682,18110616
1,338.1,1538,983,15.061,18646350
1,393.8,1559,986,17.443,19193236
1,430.1,1560,985,19.22,19751466
0,20.9,156,120,1.591,5438959
0,23.8,161,121,1.794,5564923
0,21.6,165,123,1.657,5685569
0,22.7,167,122,1.858,5798054
0,23.4,165,118,1.946,5898964
0,23.8,170,122,1.879,5987044
0,24.2,169,121,1.957,6060110
0,24.9,169,123,1.958,6122130
0,24.9,160,130,1.981,6185564
0,25.3,151,133,1.951,6267132
0,27.1,141,133,1.652,6378871
0,20.5,137,135,1.407,6525546
0,21.3,132,135,1.331,6704118
0,16.1,130,138,1.079,6909161
0,19.8,129,142,1.244,7131688
0,15.4,128,145,1.079,7364857
0,18.3,134,150,1.25,7607850
0,20.2,138,152,1.956,7862226
0,20.9,144,157,1.287,8126104
0,16.9,152,162,1.299,8397661
0,29.7,163,171,1.822,8675606
0,35.4,167,178,2.143,8958406
0,37.9,164,181,2.018,9245992
0,39.8,181,197,2.201,9540302
0,37.5,173,197,2.058,9844301
0,39.1,169,194,2.078,10160034
0,46.7,186,209,2.273,10488002
0,53,213,230,2.754,10827010
0,67.9,214,236,3.342,11175379
0,126,1544,512,2.042,8975597
0,130.4,1513,519,2.167,9289298
0,134.8,1553,539,2.18,9623899
0,138.5,1632,550,2.18,9970727
0,142.5,1518,548,2.186,10317901
0,149.9,1711,566,6.208,10656145
0,151.7,1516,379,6.823,10982919
0,146.6,1614,401,8.036,11298594
0,187.6,1861,479,9.393,11600510
0,189.4,1821,474,9.67,11886464
0,197.5,1694,429,8.961,12155241
1,225,1680,544,9.493,12405411
1,220.6,1801,662,9.473,12637719
1,237.8,1969,727,10.298,12856171
1,244.4,1991,793,10.624,13066475
1,277.4,1974,633,12.052,13273355
1,299.7,2153,765,13.046,13477705
1,347.1,2174,770,15.308,13679953
1,388.1,2155,730,16.066,13883835
1,455.7,2205,759,19.854,14093605
1,510,2151,676,22.897,14312205
1,519.4,2314,778,23.69,14541421
1,545.1,2212,690,26.384,14780454
1,557.8,2221,704,27.98,15026330
1,649.4,2188,691,30.871,15274506
1,852.7,2199,745,35.383,15521435
0,1053.3,2224,700,44.103,15766290
0,1287.5,2237,735,46.578,16009413
0,1287.9,2159,656,58.791,16249795
1,260.5,976,593,22.776,11780086
1,266.8,977,588,22.984,12137912
1,271.2,984,591,23.085,12499499
1,286.6,989,592,20.424,12864091
1,284.1,995,6169,21.804,13230978
